time,track,range,angle,rangerate,latrate,power
0.507999897003,7,2.5,6.1,0.01,0.0,13
0.507999897003,43,2.5,-10.4,0.01,0.0,9
0.557999849319,36,4.4,11.2,-0.01,0.0,1
0.557999849319,7,2.4,6.3,0.0,0.0,13
0.557999849319,43,2.4,-9.7,0.0,0.0,10
0.608000040054,7,2.5,6.1,0.0,0.0,13
0.608000040054,43,2.5,-10.4,0.0,0.0,9
0.657999992371,7,2.4,6.3,-0.01,0.0,13
0.657999992371,43,2.4,-9.7,-0.01,0.0,10
0.707999944687,7,2.5,6.1,-0.01,0.0,13
0.707999944687,43,2.5,-10.4,-0.01,0.0,10
0.757999897003,32,4.5,-5.4,-0.01,0.0,2
0.757999897003,36,4.5,11.0,-0.01,0.0,1
0.757999897003,7,2.4,6.3,-0.01,0.0,14
0.757999897003,43,2.4,-9.7,-0.01,0.0,11
0.807999849319,7,2.5,6.1,0.01,0.0,13
0.807999849319,43,2.5,-10.4,0.01,0.0,9
0.858000040054,32,4.5,-5.7,-0.01,0.0,2
0.858000040054,36,4.5,11.7,-0.01,0.0,2
0.858000040054,7,2.5,6.3,-0.01,0.0,14
0.858000040054,43,2.5,-9.7,-0.01,0.0,11
0.907999992371,7,2.5,6.1,-0.01,0.0,13
0.907999992371,43,2.5,-10.4,-0.01,0.0,10
0.957999944687,32,4.5,-5.9,-0.01,0.0,1
0.957999944687,36,4.5,11.4,-0.01,0.0,2
0.957999944687,7,2.5,6.2,-0.01,0.0,13
0.957999944687,43,2.5,-9.7,-0.01,0.0,10
1.00699996948,36,5.1,11.1,-0.02,0.0,1
1.00699996948,7,2.5,6.0,-0.01,0.0,13
1.00699996948,43,2.5,-10.4,-0.01,0.0,10
1.0569999218,32,4.4,-5.9,-0.01,0.0,1
1.0569999218,36,4.4,11.4,-0.01,0.0,2
1.0569999218,7,2.4,6.2,-0.01,0.0,13
1.0569999218,43,2.4,-9.7,-0.01,0.0,10
1.10699987411,7,2.5,6.1,-0.01,0.0,13
1.10699987411,43,2.5,-10.4,-0.01,0.0,9
1.15699982643,32,4.5,-5.5,0.0,0.0,1
1.15699982643,36,4.5,11.4,0.0,0.0,2
1.15699982643,7,2.5,6.3,-0.01,0.0,13
1.15699982643,43,2.5,-9.6,-0.01,0.0,10
1.20700001717,36,5.0,10.9,-0.02,0.0,1
1.20700001717,7,2.5,6.1,-0.01,0.0,14
1.20700001717,43,2.5,-10.4,-0.01,0.0,10
1.25699996948,32,4.5,-5.0,-0.01,0.0,1
1.25699996948,36,4.5,11.4,-0.01,0.0,2
1.25699996948,7,2.4,6.3,-0.01,0.0,14
1.25699996948,43,2.4,-9.6,-0.01,0.0,11
1.3069999218,36,5.1,11.1,-0.02,0.0,1
1.3069999218,7,2.5,6.0,-0.01,0.0,14
1.3069999218,43,2.5,-10.4,-0.01,0.0,10
1.35699987411,32,4.6,-4.9,-0.01,0.0,1
1.35699987411,36,4.6,11.1,-0.01,0.0,2
1.35699987411,7,2.4,6.3,-0.01,0.0,14
1.35699987411,43,2.4,-9.7,-0.01,0.0,11
1.40799999237,7,2.5,6.0,-0.01,0.0,13
1.40799999237,43,2.5,-10.4,-0.01,0.0,10
1.45799994469,7,2.4,6.3,0.0,0.0,13
1.45799994469,43,2.4,-9.6,0.0,0.0,10
1.507999897,7,2.5,6.1,0.0,0.0,14
1.507999897,43,2.5,-10.4,0.0,0.0,10
1.55799984932,7,2.4,6.3,0.0,0.0,13
1.55799984932,43,2.4,-9.6,0.0,0.0,10
1.60800004005,7,2.5,6.0,-0.01,0.0,13
1.60800004005,43,2.5,-10.4,-0.01,0.0,10
1.65799999237,7,2.4,6.3,0.0,0.0,13
1.65799999237,43,2.4,-9.6,0.0,0.0,10
1.70799994469,7,2.5,6.1,-0.01,0.0,13
1.70799994469,43,2.5,-10.4,-0.01,0.0,9
1.757999897,32,4.5,-5.4,-0.01,0.0,1
1.757999897,36,4.5,10.6,-0.01,0.0,1
1.757999897,7,2.4,6.3,-0.01,0.0,14
1.757999897,43,2.4,-9.6,-0.01,0.0,11
