time,range,angle
0.15299987793

0.305999994278

0.458999872208

0.610999822617
0.608000040054,2.5,-0.18318530718
0.767999887466
0.757999897003,2.4,0.0168146928204
0.922999858856
0.907999992371,2.5,-0.18318530718
1.07799983025
1.0569999218,2.4,-0.0831853071796
1.23300004005
1.20700001717,2.5,-0.18318530718
1.38800001144
1.35699987411,2.4,0.0168146928204
1.54399991035
1.507999897,2.5,-0.18318530718
1.69799995422
1.65799999237,2.4,0.0168146928204
1.85199999809
1.80799984932,2.5,-0.18318530718
2.00699996948
2.007999897,2.5,-0.28318530718
2.16299986839
2.15799999237,2.4,-0.0831853071796
2.31799983978
2.30799984932,2.5,-0.28318530718
2.47299981117
2.45799994469,2.4,-0.0831853071796
2.62800002098
2.60800004005,2.5,-0.28318530718
2.78399991989
2.75699996948,2.5,0.0168146928204
2.93899989128
2.90799999237,2.5,-0.18318530718
3.09500002861
3.05799984932,2.4,-0.0831853071796
3.25
3.20799994469,2.5,-0.18318530718
3.40499997139
3.35800004005,2.4,-0.0831853071796
3.55999994278
3.55799984932,2.4,-0.0831853071796
3.71599984169
3.70799994469,2.5,-0.28318530718
3.86999988556
3.85800004005,2.4,-0.0831853071796
4.02799987793
4.007999897,2.5,-0.28318530718
4.18299984932
4.15799999237,2.4,0.0168146928204
4.33899998665
4.30799984932,2.5,-0.28318530718
4.49300003052
4.45799994469,2.4,-0.0831853071796
4.64800000191
4.60800004005,2.5,-0.28318530718
4.8029999733
4.757999897,2.4,-0.0831853071796
4.95799994469
4.95799994469,2.4,-0.0831853071796
5.1139998436
5.10800004005,2.5,-0.28318530718
5.26799988747
5.257999897,2.4,-0.0831853071796
5.42299985886
5.40799999237,2.5,-0.28318530718
5.57799983025
5.55799984932,2.4,-0.0831853071796
5.73399996758
5.70899987221,2.5,-0.28318530718
5.88999986649
5.85899996758,2.4,-0.0831853071796
6.04699993134
6.007999897,2.5,-0.28318530718
6.20199990273
6.15799999237,2.4,-0.0831853071796
6.35800004005
6.35899996758,2.4,-0.0831853071796
6.51300001144
6.50899982452,2.5,-0.18318530718
6.66799998283
6.65799999237,2.4,-0.0831853071796
6.82299995422
6.80799984932,2.5,-0.28318530718
6.97899985313
6.95799994469,2.4,-0.0831853071796
7.13399982452
7.10800004005,2.5,-0.28318530718
7.28900003433
7.257999897,2.4,0.0168146928204
7.44400000572
7.40799999237,2.5,-0.28318530718
7.59899997711
7.55799984932,2.4,-0.0831853071796
7.75499987602
7.70899987221,2.5,-0.28318530718
7.90999984741
7.90899991989,2.5,-0.28318530718
8.0649998188
8.05900001526,2.4,0.0168146928204
8.21899986267
8.20799994469,2.5,-0.18318530718
8.37299990654
8.35800004005,2.4,-0.0831853071796
8.52799987793
8.507999897,2.5,-0.28318530718
8.68299984932
8.65799999237,2.4,-0.0831853071796
8.83799982071
8.80799984932,2.5,-0.28318530718
8.99300003052
8.95799994469,2.4,-0.0831853071796
9.14899992943
9.10800004005,2.5,-0.28318530718
9.30399990082
9.25899982452,2.4,-0.0831853071796
9.45899987221
9.45899987221,2.4,-0.0831853071796
9.61500000954
9.60899996758,2.5,-0.28318530718
9.76999998093
9.75899982452,2.4,0.0168146928204
9.92599987984
